Method;N;Pothpa;pF;wc gkg-1
Pressure plates;1;10;1;0.3217
Pressure plates;2;10;1;0.2821
Pressure plates;3;10;1;0.2912
Pressure plates;4;10;1;0.3269
Pressure plates;5;10;1;0.3253
Pressure plates;6;10;1;0.3202
Pressure plates;7;10;1;0.32
Pressure plates;8;10;1;0.3107
Pressure plates;9;10;1;0.3228
Pressure plates;10;10;1;0.3205
Pressure plates;11;10;1;0.3398
Pressure plates;12;10;1;0.297
Pressure plates;13;10;1;0.3375
Pressure plates;14;10;1;0.3538
Pressure plates;15;10;1;0.3376
Pressure plates;16;10;1;0.3047
Pressure plates;17;10;1;0.3069
Pressure plates;18;10;1;0.3274
Pressure plates;19;10;1;0.3106
Pressure plates;20;10;1;0.3095
Pressure plates;21;10;1;0.3065
Pressure plates;22;10;1;0.3123
Pressure plates;23;10;1;0.3053
Pressure plates;24;10;1;0.2928
Pressure plates;25;10;1;0.3039
Pressure plates;26;10;1;0.3098
Pressure plates;27;10;1;0.3056
Pressure plates;28;10;1;0.3416
Pressure plates;29;10;1;0.3206
Pressure plates;30;10;1;0.3458
Pressure plates;1;20;1.301029996;0.2951
Pressure plates;2;20;1.301029996;0.2648
Pressure plates;3;20;1.301029996;0.2769
Pressure plates;4;20;1.301029996;0.3013
Pressure plates;5;20;1.301029996;0.2884
Pressure plates;6;20;1.301029996;0.2876
Pressure plates;7;20;1.301029996;0.2985
Pressure plates;8;20;1.301029996;0.2877
Pressure plates;9;20;1.301029996;0.2854
Pressure plates;10;20;1.301029996;0.3052
Pressure plates;11;20;1.301029996;0.3055
Pressure plates;12;20;1.301029996;0.2726
Pressure plates;13;20;1.301029996;0.3181
Pressure plates;14;20;1.301029996;0.3159
Pressure plates;15;20;1.301029996;0.2951
Pressure plates;16;20;1.301029996;0.2769
Pressure plates;17;20;1.301029996;0.2896
Pressure plates;18;20;1.301029996;0.3005
Pressure plates;19;20;1.301029996;0.2784
Pressure plates;20;20;1.301029996;0.2829
Pressure plates;21;20;1.301029996;0.2758
Pressure plates;22;20;1.301029996;0.2891
Pressure plates;23;20;1.301029996;0.2835
Pressure plates;24;20;1.301029996;0.2764
Pressure plates;25;20;1.301029996;0.2756
Pressure plates;26;20;1.301029996;0.2874
Pressure plates;27;20;1.301029996;0.28
Pressure plates;28;20;1.301029996;0.3085
Pressure plates;29;20;1.301029996;0.2846
Pressure plates;30;20;1.301029996;0.3142
Pressure plates;1;40;1.602059991;0.2824
Pressure plates;2;40;1.602059991;0.2555
Pressure plates;3;40;1.602059991;0.2682
Pressure plates;4;40;1.602059991;0.2873
Pressure plates;5;40;1.602059991;0.2768
Pressure plates;6;40;1.602059991;0.2745
Pressure plates;7;40;1.602059991;0.2894
Pressure plates;8;40;1.602059991;0.2779
Pressure plates;9;40;1.602059991;0.2726
Pressure plates;10;40;1.602059991;0.2936
Pressure plates;11;40;1.602059991;0.2923
Pressure plates;12;40;1.602059991;0.2624
Pressure plates;13;40;1.602059991;0.3086
Pressure plates;14;40;1.602059991;0.2923
Pressure plates;15;40;1.602059991;0.2821
Pressure plates;16;40;1.602059991;0.2702
Pressure plates;17;40;1.602059991;0.2783
Pressure plates;18;40;1.602059991;0.286
Pressure plates;19;40;1.602059991;0.2679
Pressure plates;20;40;1.602059991;0.2724
Pressure plates;21;40;1.602059991;0.265
Pressure plates;22;40;1.602059991;0.276
Pressure plates;23;40;1.602059991;0.2719
Pressure plates;24;40;1.602059991;0.2662
Pressure plates;25;40;1.602059991;0.2645
Pressure plates;26;40;1.602059991;0.2766
Pressure plates;27;40;1.602059991;0.2671
Pressure plates;28;40;1.602059991;0.294
Pressure plates;29;40;1.602059991;0.2745
Pressure plates;30;40;1.602059991;0.3029
Pressure plates;1;60;1.77815125;0.2307
Pressure plates;2;60;1.77815125;0.2157
Pressure plates;3;60;1.77815125;0.231
Pressure plates;4;60;1.77815125;0.2185
Pressure plates;5;60;1.77815125;0.2187
Pressure plates;6;60;1.77815125;0.2358
Pressure plates;7;60;1.77815125;0.2386
Pressure plates;8;60;1.77815125;0.2344
Pressure plates;9;60;1.77815125;0.2179
Pressure plates;10;60;1.77815125;0.2432
